,artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,duration_ms,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
42,"Tyler, The Creator",Colossus,5AnVuHLmgipXkFmBvj2Q6H,Wolf,40QTqOBBxCEIQlLNdSjFQB,2013-04-01,60,True,0.442,213320,0.6,2,-9.087,1,0.357,0.267,0.0,0.31,0.725,82.462,1,[]
43,"Tyler, The Creator",Tron Cat,3o3K5bwHFP36MqOLa0WSw3,Goblin,5dbCm8qaCdWnNdVyi3urUO,2011-05-09,51,True,0.632,253747,0.634,8,-8.415,1,0.274,0.0302,0.0,0.153,0.39,81.0,4,[]
44,"Tyler, The Creator",48,2wK7y55bzry7tUDmDqYaz7,Wolf,40QTqOBBxCEIQlLNdSjFQB,2013-04-01,56,True,0.558,247293,0.887,1,-8.083,1,0.265,0.132,0.0,0.89,0.537,119.91,4,[]
45,"Tyler, The Creator",Lone,6oVFpdtDzSgRLv8rUgFVUW,Wolf,40QTqOBBxCEIQlLNdSjFQB,2013-04-01,53,True,0.362,237107,0.761,2,-8.509,0,0.241,0.442,0.0,0.741,0.586,80.355,4,[]
46,"Tyler, The Creator",435,5xJeZ6tLPOXNIrrphEIuay,435,5wWkfNvfwMfQFbas9Gjggq,2018-06-08,59,True,0.539,93840,0.804,10,-5.504,0,0.172,0.00247,0.000185,0.463,0.798,85.752,4,[]
47,"Tyler, The Creator",STUNTMAN (feat. Vince Staples),6S4WM9LW6oGkAtBFePffh2,CALL ME IF YOU GET LOST: The Estate Sale,1GG6U2SSJPHO6XsFiBzxYv,2023-03-31,54,True,0.731,199742,0.663,1,-7.758,1,0.246,0.0568,0.0,0.781,0.43,95.972,4,['Vince Staples']
48,"Tyler, The Creator",November,4XDpeWqPADoWRKcUY3dC84,Flower Boy,2nkto6YNI4rUYTLqEwWJ3o,2017-07-21,61,True,0.547,225347,0.759,1,-7.039,0,0.413,0.354,2.15e-05,0.676,0.575,91.85,4,[]
49,"Tyler, The Creator",OKRA,74ZovzRxHBvCq5yIwe8boh,OKRA,0dXN05tQ4StX1W0lwN95Q6,2018-03-30,55,True,0.589,151027,0.57,1,-9.54,1,0.361,0.0456,1.51e-06,0.137,0.441,136.203,4,[]
50,"Tyler, The Creator",RISE! (feat. DAISY WORLD),4Hta7Oy5W9HD0UgT1P8PPV,CALL ME IF YOU GET LOST,45ba6QAtNrdv6Ke4MFOKk9,2021-06-25,56,True,0.766,203588,0.814,2,-3.367,1,0.0733,0.044,1.08e-05,0.195,0.481,108.07,4,['DAISY WORLD']
51,"Tyler, The Creator","FIND YOUR WINGS (feat. Roy Ayers, Sydney Bennett & Kali Uchis)",7er0EUMY653mxZ1NVD9mwQ,Cherry Bomb,621OhgnZJ7Pz8iUazct1In,2015-04-13,59,True,0.53,179043,0.427,9,-7.338,0,0.0275,0.405,0.0832,0.0976,0.195,75.111,4,"['Roy Ayers', 'Syd', 'Kali Uchis']"
52,"Tyler, The Creator",I Ain't Got Time!,430qNtapCS3Ue1yoSql1oV,Flower Boy,2nkto6YNI4rUYTLqEwWJ3o,2017-07-21,58,True,0.549,206267,0.725,1,-7.239,1,0.397,0.0539,3.52e-05,0.148,0.547,108.822,4,[]
53,"Tyler, The Creator",RUNITUP (feat. Teezo Touchdown),13HsOwrwTA5HgLuoaDHncP,CALL ME IF YOU GET LOST,45ba6QAtNrdv6Ke4MFOKk9,2021-06-25,58,True,0.665,229565,0.469,10,-7.778,0,0.13,0.565,0.000317,0.219,0.142,115.852,4,['Teezo Touchdown']
