,artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,duration_ms,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
393,Ed Sheeran,Perfect,0YYBCjeCEm3rnKleZExEK5,kiss me under the light of a thousand stars,5uwmamGSJ3ayFsFflf8Wp5,2024-09-18,32,False,0.598,263400,0.448,8,-6.312,1,0.0232,0.162,0.0,0.106,0.168,95.009,3,[]
394,Ed Sheeran,Cold Coffee,0Qhut5Vj2My3pVxjHdwAAX,Songs I Wrote With Amy,40TWM0OpD4tS3AoWLnUxIC,2011-12-09,37,False,0.544,254227,0.529,6,-6.753,1,0.0256,0.453,0.0,0.131,0.403,92.936,4,[]
395,Ed Sheeran,I Don't Care (with Justin Bieber) - Chronixx & Koffee Remix,2Xqm0jHnkvjzrkkVRInzUB,I Don't Care (with Justin Bieber) [Chronixx & Koffee Remix],1alDPx3BdkU4YBHRZ8gGLu,2019-06-25,31,False,0.759,218373,0.688,6,-4.413,1,0.0801,0.347,0.0,0.11,0.812,101.902,4,"['Justin Bieber', 'Chronixx', 'Original Koffee']"
396,Ed Sheeran,Punchline,5IUq1DyjOjej1u3U9gWaUa,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,33,False,0.534,206008,0.407,11,-7.994,1,0.0261,0.844,0.0,0.113,0.616,154.059,4,[]
398,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),71BgDMZ6FbL5AKcERaxJ6n,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,29,False,0.857,204467,0.621,9,-6.376,0,0.0825,0.148,0.0,0.0865,0.668,97.989,4,"['Camila Cabello', 'Cardi B']"
399,Ed Sheeran,That’s On Me,0OyeNV6VDZ8RSrfZVrSvM2,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,27,False,0.82,227399,0.693,7,-6.279,1,0.108,0.63,0.0,0.0624,0.587,107.002,4,[]
400,Ed Sheeran,Head > Heels,3V0WFHUDCYSCQkhnK9Yzn5,Autumn Variations (Fan Living Room Sessions),5bLE2kmkZWlzAYeb6To6LA,2023-10-02,32,False,0.711,253881,0.328,0,-9.172,1,0.0592,0.759,0.000538,0.116,0.347,77.539,4,[]
401,Ed Sheeran,Beautiful People (feat. Khalid),3aCjJgEAW018s9BuGiAgob,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,28,False,0.64,197867,0.647,5,-8.114,0,0.186,0.124,0.0,0.0801,0.546,92.979,4,['Khalid']
402,Ed Sheeran,When Will I Be Alright,6VV2HwNlosZHFPYyPezX4Q,Autumn Variations (Fan Living Room Sessions),5bLE2kmkZWlzAYeb6To6LA,2023-10-02,32,False,0.614,175878,0.244,2,-9.345,1,0.0301,0.935,5.64e-05,0.112,0.488,126.381,4,[]
403,Ed Sheeran,Tides,2034O98KseYfXW4eETgm9h,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,27,False,0.631,195760,0.825,11,-3.971,1,0.0433,0.0167,0.0,0.122,0.427,129.942,3,[]
405,Ed Sheeran,Perfect - Mike Perry Remix,5AJgjETGRZMlONKiKzYCUy,Perfect (Mike Perry Remix),3ZQ5TYGh6ei3IDnQ3GscGh,2017-11-10,35,False,0.732,221333,0.756,5,-4.309,0,0.0324,0.26,0.0,0.13,0.343,113.98,3,['Mike Perry']
406,Ed Sheeran,The Man,206XdtZniE1rC0xcTJ6gpx,x (10th Anniversary Edition),1upLfaShcnjVjey0FdY7aO,2024-06-21,34,False,0.76,250427,0.724,11,-7.006,0,0.162,0.576,0.0,0.0771,0.62,87.466,4,[]
